id,name,city,category,avg_cost,duration_min,price_level,open_time,close_time,closed_days,rating,review_count,popularity,address,tags,best_time,desc,lat,lon,image_url
1,Sun World Ba Na Hills,Da Nang,sightseeing,850000,360,$$$,08:00,22:00,,4.6,45000.0,0.95,"An Son, Hoa Ninh, Hoa Vang",golden bridge;cable car;theme park,All year,"Tổ hợp vui chơi trên núi với Cầu Vàng, làng Pháp, vườn hoa.",,,
2,Golden Bridge (Cầu Vàng),Da Nang,sightseeing,0,60,$$$,08:00,19:00,,4.7,40000.0,0.98,Trong Sun World Ba Na Hills,checkin;view;photo,All year,Cầu đi bộ màu vàng được đỡ bởi đôi bàn tay khổng lồ.,,,
3,Asia Park – Sun World Danang Wonders,Da Nang,sightseeing,150000,180,$$,15:00,22:00,,4.4,12000.0,0.8,"01 Phan Đăng Lưu, Hải Châu",sun wheel;rides;theme park,Evening,Công viên giải trí lớn với Sun Wheel.,,,
4,Sun Wheel (Vòng quay Mặt Trời),Da Nang,sightseeing,75000,45,$,16:30,22:00,,4.5,8000.0,0.7,"Trong Asia Park, 01 Phan Đăng Lưu",night view;cityscape,Evening,Ngắm toàn cảnh thành phố về đêm.,,,
5,Bảo tàng Điêu khắc Chăm,Da Nang,sightseeing,120000,90,$,08:00,17:00,Mon,4.6,9000.0,0.65,"Số 2, đường 2/9, Hải Châu",museum;cham;history,Morning,Trưng bày điêu khắc Chăm Pa lớn nhất.,,,
6,Ngũ Hành Sơn (Marble Mountains),Da Nang,sightseeing,40000,120,$,07:00,17:30,,4.6,20000.0,0.9,"81 Huyền Trân Công Chúa, Ngũ Hành Sơn",mountain;cave;pagoda,All year,"Cụm núi đá vôi, nhiều hang động & chùa.",,,
7,Chùa Linh Ứng – Sơn Trà,Da Nang,sightseeing,0,90,$,06:00,21:00,,4.7,25000.0,0.85,"Bãi Bụt, bán đảo Sơn Trà",pagoda;sea view;son tra,All year,Tượng Quan Âm 67m nhìn ra biển.,,,
8,Cầu Rồng,Da Nang,sightseeing,0,30,$,00:00,23:59,,4.6,60000.0,1.0,Đường Võ Văn Kiệt / Trần Hưng Đạo,bridge;light show;river,Weekend night,Thứ 7 & CN có phun lửa/nước buổi tối.,,,
9,Bãi biển Mỹ Khê,Da Nang,sightseeing,0,120,$,,,,,4.7,50000.0,0.95,"Võ Nguyên Giáp, Sơn Trà/Ngũ Hành Sơn",beach;swim;sunrise,Morning,"Biển đẹp, cát mịn.",,
10,Bãi biển Non Nước,Da Nang,sightseeing,0,120,$,,,,,4.5,9000.0,0.6,"Trường Sa, Ngũ Hành Sơn",beach;surf;relax,Morning,"Biển dài, yên tĩnh gần Ngũ Hành Sơn.",,
11,Bãi biển Bắc Mỹ An,Da Nang,sightseeing,0,120,$,,,,,4.5,7000.0,0.55,"Võ Nguyên Giáp, Ngũ Hành Sơn",beach;resort,Morning,Khu resort cao cấp dọc bờ biển.,,
12,Bán đảo Sơn Trà – Cây Đa Ngàn Năm,Da Nang,sightseeing,0,90,$,,,,,4.6,6000.0,0.6,"Sơn Trà, Đà Nẵng",nature;giant banyan;photo,Morning,"Cây đa cổ thụ lớn, cung đường ven biển đẹp.",,
13,Hải đăng Tiên Sa,Da Nang,sightseeing,0,90,$,,,,,4.5,4000.0,0.4,Sơn Trà,lighthouse;view;drive,Morning,Một trong những hải đăng đẹp của miền Trung.,,
14,Đèo Hải Vân – Hải Vân Quan,Da Nang,sightseeing,0,180,$,,,,,4.7,15000.0,0.85,Đỉnh đèo Hải Vân (ranh giới Huế–Đà Nẵng),pass;view;history,Morning,"Cổng Trời, check-in đèo đẹp nhất VN.",,
15,Bảo tàng Đà Nẵng,Da Nang,sightseeing,40000,90,$,08:00,17:00,Mon,4.3,3000.0,0.35,"24 Trần Phú, Hải Châu",museum;history,Morning,Giới thiệu lịch sử – văn hóa Đà Nẵng.,,,
16,Cầu Sông Hàn (cầu quay),Da Nang,sightseeing,0,30,$,,,,,4.5,12000.0,0.6,Trần Hưng Đạo – Lê Duẩn bắc qua sông Hàn,bridge;rotate;night,Late night,Cầu quay vào đêm cuối tuần (thường khuya).,,
17,Cầu Thuận Phước,Da Nang,sightseeing,0,30,$,,,,,4.4,7000.0,0.5,Thọ Quang – Hải Châu,bridge;photo;night,Evening,"Cầu dây võng dài, chụp đêm đẹp.",,
18,Helio Night Market,Da Nang,sightseeing,0,120,$,17:00,22:30,Tue,4.4,15000.0,0.75,"2/9, Hải Châu",night market;street food;music,Evening,"Chợ đêm, đồ ăn & âm nhạc.",,,
19,Chợ Đêm Sơn Trà,Da Nang,sightseeing,0,120,$,18:00,23:00,,4.3,9000.0,0.6,Lý Nam Đế – Mai Hắc Đế,night market;shopping,Evening,"Quà lưu niệm, ẩm thực gần Cầu Rồng.",,,
20,Chợ Hàn,Da Nang,sightseeing,0,90,$,06:00,19:00,,4.2,15000.0,0.7,"119 Trần Phú, Hải Châu",market;local food;shopping,Morning,Chợ trung tâm nổi tiếng.,,,
21,Bảo tàng Hoàng Sa,Da Nang,sightseeing,0,90,$,07:30,17:00,Mon,4.4,2000.0,0.3,"Hoàng Sa, Sơn Trà",museum;maritime;history,Morning,Trưng bày tư liệu về Hoàng Sa.,,,
